Date,Value,Anomaly
189501,26.69,-3.43
189502,26.6,-7.22
189503,39.97,-1.53
189504,52.88,1.84
189505,59.92,-0.27
189506,67.78,-0.69
189507,71.22,-2.37
189508,71.58,-0.5
189509,65.55,0.71
189510,50.85,-3.25
189511,39.16,-2.53
189512,31.71,-0.97
189601,31.48,1.36
189602,35.04,1.22
189603,38.03,-3.47
189604,52.34,1.3
189605,62.44,2.25
189606,69.87,1.4
189607,73.65,0.06
189608,72.23,0.15
189609,62.92,-1.92
189610,51.89,-2.21
189611,38.32,-3.37
189612,35.55,2.87
189701,28.17,-1.95
189702,33.39,-0.43
189703,38.79,-2.71
189704,51.15,0.11
189705,61.16,0.97
189706,68.09,-0.38
189707,73.33,-0.26
189708,71.33,-0.75
189709,66.38,1.54
189710,55.09,0.99
189711,40.89,-0.8
189712,30.76,-1.92
189801,30.67,0.55
189802,35.37,1.55
189803,41.05,-0.45
189804,50.77,-0.27
189805,59.94,-0.25
189806,69.3,0.83
189807,73.26,-0.33
189808,72.73,0.65
189809,65.44,0.6
189810,51.48,-2.62
189811,38.37,-3.32
189812,28.67,-4.01
189901,29.68,-0.44
189902,25.5,-8.32
189903,37.62,-3.88
189904,50.59,-0.45
189905,59.88,-0.31
189906,68.63,0.16
189907,73.04,-0.55
189908,71.71,-0.37
189909,64.78,-0.06
189910,53.96,-0.14
189911,44.92,3.23
189912,31.62,-1.06
190001,34.11,3.99
190002,30.76,-3.06
190003,41.27,-0.23
190004,51.6,0.56
190005,61.72,1.53
190006,70.27,1.8
190007,73.11,-0.48
190008,72.84,0.76
190009,65.12,0.28
190010,56.35,2.25
190011,41.54,-0.15
190012,34.48,1.8
190101,31.62,1.5
190102,29.86,-3.96
190103,40.71,-0.79
190104,49.37,-1.67
190105,61.16,0.97
190106,68.41,-0.06
190107,76.23,2.64
190108,73.17,1.09
190109,63.23,-1.61
190110,55.44,1.34
190111,41.68,-0.01
190112,31.48,-1.2
190201,30.06,-0.06
190202,31.46,-2.36
190203,41.56,0.06
190204,50.85,-0.19
190205,61.97,1.78
190206,68,-0.47
190207,72.01,-1.58
190208,71.33,-0.75
190209,62.74,-2.1
190210,54.43,0.33
190211,43.68,1.99
190212,30.79,-1.89
190301,30.88,0.76
190302,28.42,-5.4
190303,42.19,0.69
190304,50.2,-0.84
190305,59.52,-0.67
190306,65.86,-2.61
190307,71.91,-1.68
190308,70.93,-1.15
190309,62.73,-2.11
190310,53.92,-0.18
190311,40.23,-1.46
190312,30.54,-2.14
190401,27.55,-2.57
190402,31.59,-2.23
190403,41.76,0.26
190404,49.44,-1.6
190405,60.13,-0.06
190406,67.24,-1.23
190407,71.33,-2.26
190408,70.7,-1.38
190409,64.94,0.1
190410,53.92,-0.18
190411,43.12,1.43
190412,32.02,-0.66
190501,27.12,-3
190502,26.94,-6.88
190503,45.12,3.62
190504,50.47,-0.57
190505,59.13,-1.06
190506,67.98,-0.49
190507,71.96,-1.63
190508,72.36,0.28
190509,65.93,1.09
190510,51.64,-2.46
190511,42.22,0.53
190512,30.99,-1.69
